14
1
0.550000 0.150000   90.000000         
0.150000 0.450000   90.000000         
0.550000 0.150000   90.000000          0.0
0.150000 0.550000   90.000000          0.0
0.498697 0.118431 -148.394306          0.0
0.150000 0.650000   90.000000          0.0
0.498697 0.118431   90.000000          0.0
0.150000 0.750000   90.000000          0.0
0.498697 0.118431   90.000000          0.0
0.250000 0.850000   45.000000          0.0
0.498697 0.118431    0.000000          0.0
0.350000 0.950000   45.000000          0.0
0.498697 0.118431 -157.500000          0.0
0.350000 0.950000   45.000000          0.0
0.498697 0.118431 -157.500000          0.0
0.450000 0.950000    0.000000          0.0
